id,day_of_week,date,month,hour,year
1254,6,28,7,1,2024
860,3,25,7,7,2024
388,1,16,7,5,2024
1392,0,29,7,0,2024
450,1,16,7,15,2024
1123,5,27,7,3,2024
983,4,26,7,4,2024
1226,5,27,7,20,2024
375,1,16,7,3,2024
453,1,16,7,16,2024
1382,6,28,7,22,2024
1317,6,28,7,11,2024
676,2,24,7,0,2024
451,1,16,7,16,2024
747,2,24,7,12,2024
1147,5,27,7,7,2024
539,1,23,7,2,2024
623,1,23,7,16,2024
580,1,23,7,8,2024
762,2,24,7,15,2024
1236,5,27,7,22,2024
1399,0,29,7,1,2024
1165,5,27,7,10,2024
928,3,25,7,18,2024
985,4,26,7,4,2024
1058,4,26,7,16,2024
782,2,24,7,18,2024
1111,5,27,7,1,2024
604,1,23,7,12,2024
1463,0,29,7,12,2024
1478,0,29,7,14,2024
1047,4,26,7,14,2024
944,3,25,7,21,2024
1144,5,27,7,6,2024
792,2,24,7,20,2024
351,0,15,7,23,2024
342,0,15,7,21,2024
557,1,23,7,5,2024
1368,6,28,7,20,2024
448,1,16,7,15,2024
1278,6,28,7,5,2024
713,2,24,7,7,2024
315,0,15,7,17,2024
965,4,26,7,1,2024
913,3,25,7,16,2024
1400,0,29,7,1,2024
696,2,24,7,4,2024
1124,5,27,7,3,2024
844,3,25,7,4,2024
754,2,24,7,13,2024
678,2,24,7,1,2024
659,1,23,7,22,2024
821,3,25,7,1,2024
412,1,16,7,9,2024
1411,0,29,7,3,2024
936,3,25,7,20,2024
829,3,25,7,2,2024
1113,5,27,7,1,2024
1076,4,26,7,19,2024
793,2,24,7,20,2024
1128,5,27,7,4,2024
542,1,23,7,2,2024
643,1,23,7,19,2024
1045,4,26,7,14,2024
1497,0,29,7,17,2024
1026,4,26,7,11,2024
378,1,16,7,3,2024
379,1,16,7,4,2024
646,1,23,7,19,2024
526,0,22,7,23,2024
324,0,15,7,18,2024
805,2,24,7,22,2024
1357,6,28,7,18,2024
614,1,23,7,14,2024
888,3,25,7,12,2024
1258,6,28,7,1,2024
1384,6,28,7,22,2024
730,2,24,7,9,2024
1262,6,28,7,2,2024
808,2,24,7,22,2024
750,2,24,7,13,2024
981,4,26,7,3,2024
1404,0,29,7,2,2024
1429,0,29,7,6,2024
1223,5,27,7,20,2024
753,2,24,7,13,2024
588,1,23,7,10,2024
673,2,24,7,0,2024
552,1,23,7,4,2024
1279,6,28,7,5,2024
314,0,15,7,17,2024
318,0,15,7,17,2024
626,1,23,7,16,2024
1454,0,29,7,10,2024
1215,5,27,7,18,2024
786,2,24,7,19,2024
530,1,23,7,0,2024
682,2,24,7,1,2024
339,0,15,7,21,2024
1467,0,29,7,12,2024
709,2,24,7,6,2024
1479,0,29,7,14,2024
1355,6,28,7,18,2024
1389,6,28,7,23,2024
903,3,25,7,14,2024
1043,4,26,7,14,2024
847,3,25,7,5,2024
1505,0,29,7,19,2024
1442,0,29,7,8,2024
571,1,23,7,7,2024
606,1,23,7,13,2024
337,0,15,7,21,2024
651,1,23,7,20,2024
1145,5,27,7,7,2024
359,1,16,7,0,2024
633,1,23,7,17,2024
418,1,16,7,10,2024
1105,5,27,7,0,2024
367,1,16,7,2,2024
834,3,25,7,3,2024
528,1,23,7,0,2024
432,1,16,7,12,2024
873,3,25,7,9,2024
1376,6,28,7,21,2024
1295,6,28,7,8,2024
384,1,16,7,4,2024
1077,4,26,7,19,2024
1465,0,29,7,12,2024
1318,6,28,7,11,2024
997,4,26,7,6,2024
1232,5,27,7,21,2024
1092,4,26,7,22,2024
863,3,25,7,8,2024
872,3,25,7,9,2024
737,2,24,7,11,2024
800,2,24,7,21,2024
1387,6,28,7,23,2024
1229,5,27,7,21,2024
631,1,23,7,17,2024
930,3,25,7,19,2024
1319,6,28,7,12,2024
1122,5,27,7,3,2024
994,4,26,7,5,2024
739,2,24,7,11,2024
857,3,25,7,7,2024
372,1,16,7,2,2024
1032,4,26,7,12,2024
404,1,16,7,8,2024
1164,5,27,7,10,2024
705,2,24,7,5,2024
666,1,23,7,23,2024
1238,5,27,7,22,2024
