id,topic,message,timestamp,Temperature (°C),Air Quality,Humidity
312,t4g1,23.9;69.1;24,2024-07-15 16:41:47,23.9,69.1,24
313,t4g1,26.2;61.6;26,2024-07-15 17:07:16,26.2,61.6,26
314,t4g1,26.9;59.5;27,2024-07-15 17:17:16,26.9,59.5,27
315,t4g1,26.7;59.8;28,2024-07-15 17:27:17,26.7,59.8,28
316,t4g1,26.6;60.2;28,2024-07-15 17:37:17,26.6,60.2,28
317,t4g1,26.6;60.2;26,2024-07-15 17:47:18,26.6,60.2,26
318,t4g1,26.5;60.4;28,2024-07-15 17:57:19,26.5,60.4,28
319,t4g1,26.4;60.6;28,2024-07-15 18:07:19,26.4,60.6,28
320,t4g1,26.3;60.9;27,2024-07-15 18:17:20,26.3,60.9,27
321,t4g1,26.3;60.8;28,2024-07-15 18:27:20,26.3,60.8,28
322,t4g1,26.1;61.0;28,2024-07-15 18:37:21,26.1,61.0,28
323,t4g1,26.1;60.8;29,2024-07-15 18:47:21,26.1,60.8,29
324,t4g1,26.0;60.7;28,2024-07-15 18:57:22,26.0,60.7,28
325,t4g1,26.1;60.7;29,2024-07-15 19:07:22,26.1,60.7,29
326,t4g1,26.3;61.3;29,2024-07-15 19:17:23,26.3,61.3,29
327,t4g1,26.4;61.5;28,2024-07-15 19:27:24,26.4,61.5,28
328,t4g1,26.5;62.2;30,2024-07-15 19:37:24,26.5,62.2,30
329,t4g1,26.6;62.5;29,2024-07-15 19:47:24,26.6,62.5,29
330,t4g1,26.7;63.0;28,2024-07-15 19:57:25,26.7,63.0,28
331,t4g1,26.7;63.7;28,2024-07-15 20:07:26,26.7,63.7,28
332,t4g1,26.8;64.9;29,2024-07-15 20:17:26,26.8,64.9,29
333,t4g1,26.8;65.9;28,2024-07-15 20:27:27,26.8,65.9,28
334,t4g1,26.9;66.3;28,2024-07-15 20:37:27,26.9,66.3,28
335,t4g1,26.9;67.0;28,2024-07-15 20:47:28,26.9,67.0,28
336,t4g1,26.9;67.4;28,2024-07-15 20:57:28,26.9,67.4,28
337,t4g1,27.0;67.9;28,2024-07-15 21:07:28,27.0,67.9,28
338,t4g1,27.0;68.4;28,2024-07-15 21:17:29,27.0,68.4,28
339,t4g1,27.0;68.5;44,2024-07-15 21:27:30,27.0,68.5,44
340,t4g1,27.0;69.2;28,2024-07-15 21:37:30,27.0,69.2,28
341,t4g1,27.1;69.6;28,2024-07-15 21:47:30,27.1,69.6,28
342,t4g1,27.1;69.8;29,2024-07-15 21:57:31,27.1,69.8,29
343,t4g1,27.1;69.7;28,2024-07-15 22:07:32,27.1,69.7,28
344,t4g1,27.1;70.2;29,2024-07-15 22:17:32,27.1,70.2,29
345,t4g1,27.1;70.4;28,2024-07-15 22:27:32,27.1,70.4,28
346,t4g1,27.1;70.1;29,2024-07-15 22:37:33,27.1,70.1,29
347,t4g1,27.1;70.5;28,2024-07-15 22:47:33,27.1,70.5,28
348,t4g1,27.2;70.7;29,2024-07-15 22:57:34,27.2,70.7,29
349,t4g1,27.2;70.9;30,2024-07-15 23:07:34,27.2,70.9,30
350,t4g1,27.2;71.1;30,2024-07-15 23:17:35,27.2,71.1,30
351,t4g1,27.2;71.2;44,2024-07-15 23:27:36,27.2,71.2,44
352,t4g1,27.2;71.2;29,2024-07-15 23:37:36,27.2,71.2,29
353,t4g1,27.2;71.4;29,2024-07-15 23:47:37,27.2,71.4,29
354,t4g1,27.3;71.5;30,2024-07-15 23:57:37,27.3,71.5,30
355,t4g1,27.3;71.2;30,2024-07-16 00:07:38,27.3,71.2,30
356,t4g1,27.3;71.7;29,2024-07-16 00:17:38,27.3,71.7,29
357,t4g1,27.3;71.8;30,2024-07-16 00:27:39,27.3,71.8,30
358,t4g1,27.3;71.8;30,2024-07-16 00:37:39,27.3,71.8,30
359,t4g1,27.3;72.1;31,2024-07-16 00:47:40,27.3,72.1,31
360,t4g1,27.3;72.2;30,2024-07-16 00:57:40,27.3,72.2,30
361,t4g1,27.2;72.2;29,2024-07-16 01:07:41,27.2,72.2,29
362,t4g1,27.3;72.4;30,2024-07-16 01:17:41,27.3,72.4,30
363,t4g1,27.3;72.4;30,2024-07-16 01:27:42,27.3,72.4,30
364,t4g1,27.3;72.8;31,2024-07-16 01:37:42,27.3,72.8,31
365,t4g1,27.3;72.8;30,2024-07-16 01:47:43,27.3,72.8,30
366,t4g1,27.3;73.2;30,2024-07-16 01:57:43,27.3,73.2,30
367,t4g1,27.3;73.1;30,2024-07-16 02:07:44,27.3,73.1,30
368,t4g1,27.3;73.1;28,2024-07-16 02:17:44,27.3,73.1,28
369,t4g1,27.3;73.3;29,2024-07-16 02:27:45,27.3,73.3,29
370,t4g1,27.3;73.3;30,2024-07-16 02:37:45,27.3,73.3,30
371,t4g1,27.3;73.1;30,2024-07-16 02:47:46,27.3,73.1,30
