day_of_week,date,month,hour,year
2,6,8,0,2024
2,6,8,1,2024
2,6,8,2,2024
2,6,8,3,2024
2,6,8,4,2024
2,6,8,5,2024
2,6,8,6,2024
2,6,8,7,2024
2,6,8,8,2024
2,6,8,9,2024
2,6,8,10,2024
2,6,8,11,2024
2,6,8,12,2024
2,6,8,13,2024
2,6,8,14,2024
2,6,8,15,2024
2,6,8,16,2024
2,6,8,17,2024
2,6,8,18,2024
2,6,8,19,2024
2,6,8,20,2024
2,6,8,21,2024
2,6,8,22,2024
2,6,8,23,2024
3,7,8,0,2024
3,7,8,1,2024
3,7,8,2,2024
3,7,8,3,2024
3,7,8,4,2024
3,7,8,5,2024
3,7,8,6,2024
3,7,8,7,2024
3,7,8,8,2024
3,7,8,9,2024
3,7,8,10,2024
3,7,8,11,2024
3,7,8,12,2024
3,7,8,13,2024
3,7,8,14,2024
3,7,8,15,2024
3,7,8,16,2024
3,7,8,17,2024
3,7,8,18,2024
3,7,8,19,2024
3,7,8,20,2024
3,7,8,21,2024
3,7,8,22,2024
3,7,8,23,2024
4,8,8,0,2024
4,8,8,1,2024
4,8,8,2,2024
4,8,8,3,2024
4,8,8,4,2024
4,8,8,5,2024
4,8,8,6,2024
4,8,8,7,2024
4,8,8,8,2024
4,8,8,9,2024
4,8,8,10,2024
4,8,8,11,2024
4,8,8,12,2024
4,8,8,13,2024
4,8,8,14,2024
4,8,8,15,2024
4,8,8,16,2024
4,8,8,17,2024
4,8,8,18,2024
4,8,8,19,2024
4,8,8,20,2024
4,8,8,21,2024
4,8,8,22,2024
4,8,8,23,2024
5,9,8,0,2024
5,9,8,1,2024
5,9,8,2,2024
5,9,8,3,2024
5,9,8,4,2024
5,9,8,5,2024
5,9,8,6,2024
5,9,8,7,2024
5,9,8,8,2024
5,9,8,9,2024
5,9,8,10,2024
5,9,8,11,2024
5,9,8,12,2024
5,9,8,13,2024
5,9,8,14,2024
5,9,8,15,2024
5,9,8,16,2024
5,9,8,17,2024
5,9,8,18,2024
5,9,8,19,2024
5,9,8,20,2024
5,9,8,21,2024
5,9,8,22,2024
5,9,8,23,2024
6,10,8,0,2024
6,10,8,1,2024
6,10,8,2,2024
6,10,8,3,2024
6,10,8,4,2024
6,10,8,5,2024
6,10,8,6,2024
6,10,8,7,2024
6,10,8,8,2024
6,10,8,9,2024
6,10,8,10,2024
6,10,8,11,2024
6,10,8,12,2024
6,10,8,13,2024
6,10,8,14,2024
6,10,8,15,2024
6,10,8,16,2024
6,10,8,17,2024
6,10,8,18,2024
6,10,8,19,2024
6,10,8,20,2024
6,10,8,21,2024
6,10,8,22,2024
6,10,8,23,2024
0,11,8,0,2024
0,11,8,1,2024
0,11,8,2,2024
0,11,8,3,2024
0,11,8,4,2024
0,11,8,5,2024
0,11,8,6,2024
0,11,8,7,2024
0,11,8,8,2024
0,11,8,9,2024
0,11,8,10,2024
0,11,8,11,2024
0,11,8,12,2024
0,11,8,13,2024
0,11,8,14,2024
0,11,8,15,2024
0,11,8,16,2024
0,11,8,17,2024
0,11,8,18,2024
0,11,8,19,2024
0,11,8,20,2024
0,11,8,21,2024
0,11,8,22,2024
0,11,8,23,2024
1,12,8,0,2024
1,12,8,1,2024
1,12,8,2,2024
1,12,8,3,2024
1,12,8,4,2024
1,12,8,5,2024
1,12,8,6,2024
1,12,8,7,2024
1,12,8,8,2024
1,12,8,9,2024
1,12,8,10,2024
1,12,8,11,2024
1,12,8,12,2024
1,12,8,13,2024
1,12,8,14,2024
1,12,8,15,2024
1,12,8,16,2024
1,12,8,17,2024
1,12,8,18,2024
1,12,8,19,2024
1,12,8,20,2024
1,12,8,21,2024
1,12,8,22,2024
1,12,8,23,2024
2,13,8,0,2024
2,13,8,1,2024
2,13,8,2,2024
2,13,8,3,2024
2,13,8,4,2024
2,13,8,5,2024
2,13,8,6,2024
2,13,8,7,2024
2,13,8,8,2024
2,13,8,9,2024
2,13,8,10,2024
2,13,8,11,2024
2,13,8,12,2024
2,13,8,13,2024
2,13,8,14,2024
2,13,8,15,2024
2,13,8,16,2024
2,13,8,17,2024
2,13,8,18,2024
2,13,8,19,2024
2,13,8,20,2024
2,13,8,21,2024
2,13,8,22,2024
2,13,8,23,2024
3,14,8,0,2024
3,14,8,1,2024
3,14,8,2,2024
3,14,8,3,2024
3,14,8,4,2024
3,14,8,5,2024
3,14,8,6,2024
3,14,8,7,2024
3,14,8,8,2024
3,14,8,9,2024
3,14,8,10,2024
3,14,8,11,2024
3,14,8,12,2024
3,14,8,13,2024
3,14,8,14,2024
3,14,8,15,2024
3,14,8,16,2024
3,14,8,17,2024
3,14,8,18,2024
3,14,8,19,2024
3,14,8,20,2024
3,14,8,21,2024
3,14,8,22,2024
3,14,8,23,2024
4,15,8,0,2024
4,15,8,1,2024
4,15,8,2,2024
4,15,8,3,2024
4,15,8,4,2024
4,15,8,5,2024
4,15,8,6,2024
4,15,8,7,2024
4,15,8,8,2024
4,15,8,9,2024
4,15,8,10,2024
4,15,8,11,2024
4,15,8,12,2024
4,15,8,13,2024
4,15,8,14,2024
4,15,8,15,2024
4,15,8,16,2024
4,15,8,17,2024
4,15,8,18,2024
4,15,8,19,2024
4,15,8,20,2024
4,15,8,21,2024
4,15,8,22,2024
4,15,8,23,2024
5,16,8,0,2024
5,16,8,1,2024
5,16,8,2,2024
5,16,8,3,2024
5,16,8,4,2024
5,16,8,5,2024
5,16,8,6,2024
5,16,8,7,2024
5,16,8,8,2024
5,16,8,9,2024
5,16,8,10,2024
5,16,8,11,2024
5,16,8,12,2024
5,16,8,13,2024
5,16,8,14,2024
5,16,8,15,2024
5,16,8,16,2024
5,16,8,17,2024
5,16,8,18,2024
5,16,8,19,2024
5,16,8,20,2024
5,16,8,21,2024
5,16,8,22,2024
5,16,8,23,2024
6,17,8,0,2024
6,17,8,1,2024
6,17,8,2,2024
6,17,8,3,2024
6,17,8,4,2024
6,17,8,5,2024
6,17,8,6,2024
6,17,8,7,2024
6,17,8,8,2024
6,17,8,9,2024
6,17,8,10,2024
6,17,8,11,2024
6,17,8,12,2024
6,17,8,13,2024
6,17,8,14,2024
