id,clientID,topic,message,timestamp
12,23.1;62.9;18,t4g1,,2024-07-09 13:00:18
13,23.1;62.8;23,t4g1,,2024-07-09 13:00:34
14,23.1;62.8;23,t4g1,,2024-07-09 13:00:48
15,23.1;62.7;23,t4g1,,2024-07-09 13:01:04
16,23.0;63.2;23,t4g1,,2024-07-09 13:01:19
17,23.1;63.3;24,t4g1,,2024-07-09 13:01:33
18,23.3;65.7;23,t4g1,,2024-07-09 13:01:49
19,23.5;65.5;23,t4g1,,2024-07-09 13:02:04
20,23.4;62.7;23,t4g1,,2024-07-09 13:02:19
21,23.4;62.4;23,t4g1,,2024-07-09 13:02:34
22,23.3;61.9;23,t4g1,,2024-07-09 13:02:49
23,23.3;63.6;23,t4g1,,2024-07-09 13:03:04
24,23.3;62.8;23,t4g1,,2024-07-09 13:03:19
25,23.3;62.6;23,t4g1,,2024-07-09 13:03:34
26,23.3;62.1;23,t4g1,,2024-07-09 13:03:49
27,23.4;62.6;23,t4g1,,2024-07-09 13:04:04
28,23.4;61.9;23,t4g1,,2024-07-09 13:04:19
29,23.5;61.6;24,t4g1,,2024-07-09 13:04:34
30,23.5;61.6;23,t4g1,,2024-07-09 13:04:49
31,23.6;61.5;23,t4g1,,2024-07-09 13:05:04
32,23.6;61.2;23,t4g1,,2024-07-09 13:05:19
33,23.5;61.4;23,t4g1,,2024-07-09 13:05:34
34,23.4;61.8;23,t4g1,,2024-07-09 13:05:49
35,23.3;62.4;23,t4g1,,2024-07-09 13:06:04
36,23.3;62.5;23,t4g1,,2024-07-09 13:06:19
37,23.2;62.6;23,t4g1,,2024-07-09 13:06:34
38,23.1;63.6;23,t4g1,,2024-07-09 13:06:49
39,23.2;63.7;23,t4g1,,2024-07-09 13:07:04
40,23.2;63.4;23,t4g1,,2024-07-09 13:07:19
41,23.2;63.3;23,t4g1,,2024-07-09 13:07:34
42,23.2;63.3;23,t4g1,,2024-07-09 13:07:49
43,23.2;63.8;23,t4g1,,2024-07-09 13:08:04
44,23.2;63.4;23,t4g1,,2024-07-09 13:08:19
45,23.2;63.3;24,t4g1,,2024-07-09 13:08:34
46,23.2;63.5;23,t4g1,,2024-07-09 13:08:49
47,23.2;63.5;23,t4g1,,2024-07-09 13:09:04
48,23.2;63.5;23,t4g1,,2024-07-09 13:09:19
49,23.2;63.6;23,t4g1,,2024-07-09 13:09:34
50,23.2;63.7;23,t4g1,,2024-07-09 13:09:49
51,23.1;63.9;23,t4g1,,2024-07-09 13:10:04
52,23.1;64.0;23,t4g1,,2024-07-09 13:10:19
53,23.1;64.1;23,t4g1,,2024-07-09 13:10:34
54,23.1;64.2;24,t4g1,,2024-07-09 13:10:49
55,23.1;64.4;23,t4g1,,2024-07-09 13:11:04
56,23.1;64.5;23,t4g1,,2024-07-09 13:11:19
57,23.1;64.6;23,t4g1,,2024-07-09 13:11:35
58,23.0;64.8;23,t4g1,,2024-07-09 13:11:49
59,23.0;65.4;24,t4g1,,2024-07-09 13:12:05
60,23.0;65.0;23,t4g1,,2024-07-09 13:12:19
61,23.0;65.0;23,t4g1,,2024-07-09 13:12:35
62,23.1;65.0;23,t4g1,,2024-07-09 13:12:50
63,23.1;64.9;23,t4g1,,2024-07-09 13:13:05
64,23.1;64.9;23,t4g1,,2024-07-09 13:13:20
65,23.1;65.0;23,t4g1,,2024-07-09 13:13:35
66,23.0;65.1;23,t4g1,,2024-07-09 13:13:50
67,23.0;65.1;23,t4g1,,2024-07-09 13:14:05
68,23.0;65.2;23,t4g1,,2024-07-09 13:14:20
69,23.0;65.3;24,t4g1,,2024-07-09 13:14:35
70,23.1;65.2;24,t4g1,,2024-07-09 13:14:50
71,23.1;65.2;23,t4g1,,2024-07-09 13:15:05
72,23.1;64.8;24,t4g1,,2024-07-09 13:15:20
73,23.1;64.8;23,t4g1,,2024-07-09 13:15:35
74,23.1;64.8;23,t4g1,,2024-07-09 13:15:50
75,23.1;64.9;23,t4g1,,2024-07-09 13:16:05
76,23.1;64.8;24,t4g1,,2024-07-09 13:16:20
77,23.2;65.2;23,t4g1,,2024-07-09 13:16:35
78,23.1;64.8;24,t4g1,,2024-07-09 13:16:50
79,23.2;64.7;23,t4g1,,2024-07-09 13:17:05
80,23.2;64.7;23,t4g1,,2024-07-09 13:17:20
81,23.2;64.7;23,t4g1,,2024-07-09 13:17:35
82,23.2;64.7;23,t4g1,,2024-07-09 13:17:50
83,23.2;64.6;23,t4g1,,2024-07-09 13:18:05
84,23.2;64.6;23,t4g1,,2024-07-09 13:18:20
85,23.1;64.6;23,t4g1,,2024-07-09 13:18:35
86,23.2;64.6;23,t4g1,,2024-07-09 13:18:50
87,23.2;64.6;23,t4g1,,2024-07-09 13:19:05
88,23.2;64.5;23,t4g1,,2024-07-09 13:19:20
89,23.2;64.4;23,t4g1,,2024-07-09 13:19:35
90,23.1;64.4;23,t4g1,,2024-07-09 13:19:50
91,23.1;64.4;23,t4g1,,2024-07-09 13:20:05
92,t4g1:115,t4g1,23.1;64.5;18,2024-07-09 13:20:43
93,t4g1:115,t4g1,23.1;64.4;23,2024-07-09 13:20:58
94,t4g1:115,t4g1,23.0;64.5;23,2024-07-09 13:21:13
95,t4g1:115,t4g1,23.0;64.5;23,2024-07-09 13:21:29
96,t4g1:113,t4g1,23.0;64.6;19,2024-07-09 13:22:07
97,t4g1:113,t4g1,23.0;64.6;23,2024-07-09 13:22:22
98,t4g1:113,t4g1,22.9;64.6;23,2024-07-09 13:22:37
99,t4g1:113,t4g1,23.0;64.7;24,2024-07-09 13:22:52
100,t4g1:113,t4g1,23.0;64.5;23,2024-07-09 13:23:07
101,t4g1:113,t4g1,23.0;64.7;23,2024-07-09 13:23:22
102,t4g1:113,t4g1,22.9;64.7;23,2024-07-09 13:23:37
103,t4g1:113,t4g1,22.9;64.7;24,2024-07-09 13:23:52
104,t4g1:113,t4g1,22.8;64.8;23,2024-07-09 13:24:07
105,t4g1:113,t4g1,22.8;64.9;23,2024-07-09 13:24:22
106,t4g1:113,t4g1,22.8;65.0;23,2024-07-09 13:24:37
107,t4g1:113,t4g1,22.8;65.0;23,2024-07-09 13:24:52
108,t4g1:113,t4g1,22.8;64.9;23,2024-07-09 13:25:07
109,t4g1:113,t4g1,22.8;64.8;23,2024-07-09 13:25:22
110,t4g1:113,t4g1,22.8;65.0;24,2024-07-09 13:25:37
111,t4g1:113,t4g1,22.8;64.9;23,2024-07-09 13:25:52
112,t4g1:113,t4g1,22.9;65.0;23,2024-07-09 13:26:07
113,t4g1:113,t4g1,22.9;65.1;23,2024-07-09 13:26:22
114,t4g1:113,t4g1,22.9;65.1;23,2024-07-09 13:26:37
115,t4g1:113,t4g1,23.0;65.1;23,2024-07-09 13:26:52
116,t4g1:113,t4g1,23.0;65.0;23,2024-07-09 13:27:07
117,t4g1:113,t4g1,22.9;65.1;24,2024-07-09 13:27:22
118,t4g1:113,t4g1,22.9;65.2;24,2024-07-09 13:27:37
119,t4g1:113,t4g1,22.8;65.5;23,2024-07-09 13:27:53
120,t4g1:113,t4g1,22.8;65.6;24,2024-07-09 13:28:08
121,t4g1:113,t4g1,22.8;65.6;23,2024-07-09 13:28:22
122,t4g1:113,t4g1,22.8;65.8;23,2024-07-09 13:28:37
123,t4g1:113,t4g1,22.7;66.1;24,2024-07-09 13:28:53
124,t4g1:113,t4g1,22.7;66.1;23,2024-07-09 13:29:08
125,t4g1:113,t4g1,22.8;66.1;23,2024-07-09 13:29:23
