id,clientID,topic,message,timestamp
65,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:50
66,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:50
67,t4g6:113,t4g6,0.00;0.00;27,9/7/2024 11:50
68,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:51
69,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:51
70,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:51
71,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:51
72,t4g6:113,t4g6,0.00;0.00;27,9/7/2024 11:52
73,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:52
74,t4g6:113,t4g6,0.00;0.00;25,9/7/2024 11:52
75,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:53
76,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:53
77,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:53
78,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:53
79,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:54
80,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:54
81,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:54
82,t4g6:113,t4g6,0.00;0.00;25,9/7/2024 11:54
83,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:55
84,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:55
85,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:55
86,t4g6:113,t4g6,0.00;0.00;27,9/7/2024 11:55
87,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:56
88,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:56
89,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:56
90,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:56
91,t4g6:113,t4g6,0.00;0.00;26,9/7/2024 11:57
92,t4g6:113,t4g6,27.37;52.05;20,9/7/2024 11:57
93,t4g6:113,t4g6,26.87;53.44;19,9/7/2024 11:58
94,t4g6:113,t4g6,26.72;53.27;27,9/7/2024 11:58
95,t4g6:113,t4g6,26.55;53.14;26,9/7/2024 11:58
96,t4g6:113,t4g6,26.56;53.27;26,9/7/2024 11:59
97,t4g6:113,t4g6,26.79;53.17;26,9/7/2024 11:59
98,t4g6:113,t4g6,26.63;53.31;26,9/7/2024 11:59
99,t4g6:113,t4g6,26.51;53.48;27,9/7/2024 11:59
100,t4g6:113,t4g6,26.31;53.78;27,9/7/2024 12:00
101,t4g6:113,t4g6,26.24;54.05;27,9/7/2024 12:00
102,t4g6:113,t4g6,26.22;54.02;27,9/7/2024 12:00
103,t4g6:113,t4g6,26.21;54.80;27,9/7/2024 12:00
104,t4g6:113,t4g6,26.15;54.50;27,9/7/2024 12:01
105,t4g6:113,t4g6,26.11;54.18;27,9/7/2024 12:01
106,t4g6:113,t4g6,26.15;54.11;27,9/7/2024 12:01
107,t4g6:113,t4g6,26.12;54.11;27,9/7/2024 12:01
108,t4g6:113,t4g6,26.31;54.08;27,9/7/2024 12:02
109,t4g6:113,t4g6,26.21;53.87;26,9/7/2024 12:02
110,t4g6:113,t4g6,26.04;54.15;26,9/7/2024 12:02
111,t4g6:113,t4g6,26.01;54.99;27,9/7/2024 12:03
112,t4g6:113,t4g6,25.91;54.75;26,9/7/2024 12:03
113,t4g6:113,t4g6,26.04;55.01;27,9/7/2024 12:03
114,t4g6:113,t4g6,25.90;55.06;27,9/7/2024 12:03
115,t4g6:113,t4g6,26.08;55.86;26,9/7/2024 12:04
116,t4g6:113,t4g6,26.22;54.70;27,9/7/2024 12:04
117,t4g6:113,t4g6,26.36;54.01;27,9/7/2024 12:04
118,t4g6:113,t4g6,26.45;54.04;26,9/7/2024 12:04
119,t4g6:113,t4g6,26.52;53.54;27,9/7/2024 12:05
120,t4g6:113,t4g6,26.60;53.65;26,9/7/2024 12:05
121,t4g6:113,t4g6,26.56;53.64;26,9/7/2024 12:05
122,t4g6:113,t4g6,26.62;53.84;26,9/7/2024 12:05
123,t4g6:113,t4g6,26.65;53.35;27,9/7/2024 12:06
124,t4g6:113,t4g6,26.63;53.22;27,9/7/2024 12:06
125,t4g6:113,t4g6,26.55;53.71;26,9/7/2024 12:06
126,t4g6:113,t4g6,26.82;54.76;27,9/7/2024 12:06
127,t4g6:113,t4g6,26.27;54.34;26,9/7/2024 12:07
128,t4g6:113,t4g6,25.44;55.49;26,9/7/2024 12:07
129,t4g6:113,t4g6,24.92;56.81;27,9/7/2024 12:07
130,t4g6:113,t4g6,24.72;57.73;27,9/7/2024 12:07
131,t4g6:113,t4g6,24.82;58.24;26,9/7/2024 12:08
