,id,topic,message,timestamp,Temperature (°C)
0,12,t4g6,temperature is 31.82,2024-07-09 11:18:00,31.82
1,13,t4g6,temperature is 28.40,2024-07-09 11:18:00,28.4
2,14,t4g6,temperature is 28.06,2024-07-09 11:19:00,28.06
3,15,t4g6,temperature is 30.46,2024-07-09 11:19:00,30.46
4,16,t4g6,temperature is 27.38,2024-07-09 11:19:00,27.38
5,17,t4g6,temperature is 30.11,2024-07-09 11:19:00,30.11
6,18,t4g6,temperature is 31.48,2024-07-09 11:20:00,31.48
7,19,t4g6,temperature is 32.85,2024-07-09 11:20:00,32.85
8,20,t4g6,temperature is 32.85,2024-07-09 11:20:00,32.85
9,21,t4g6,temperature is 33.88,2024-07-09 11:20:00,33.88
10,22,t4g6,temperature is 31.14,2024-07-09 11:21:00,31.14
11,23,t4g6,temperature is 31.14,2024-07-09 11:21:00,31.14
12,24,t4g6,temperature is 28.40,2024-07-09 11:21:00,28.4
13,25,t4g6,temperature is 29.09,2024-07-09 11:21:00,29.09
14,26,t4g6,temperature is 30.11,2024-07-09 11:22:00,30.11
15,27,t4g6,temperature is 31.82,2024-07-09 11:22:00,31.82
16,28,t4g6,temperature is 30.80,2024-07-09 11:22:00,30.8
17,29,t4g6,temperature is 29.43,2024-07-09 11:22:00,29.43
18,30,t4g6,temperature is 30.46,2024-07-09 11:23:00,30.46
19,31,t4g6,temperature is 31.48,2024-07-09 11:23:00,31.48
20,32,t4g6,temperature is 33.19,2024-07-09 11:23:00,33.19
21,33,t4g6,temperature is 29.77,2024-07-09 11:23:00,29.77
22,34,t4g6,temperature is 31.48,2024-07-09 11:24:00,31.48
23,35,t4g6,temperature is 30.11,2024-07-09 11:24:00,30.11
24,36,t4g6,temperature is 27.38,2024-07-09 11:24:00,27.38
25,37,t4g6,temperature is 28.40,2024-07-09 11:24:00,28.4
26,38,t4g6,temperature is 30.46,2024-07-09 11:25:00,30.46
27,39,t4g6,temperature is 31.48,2024-07-09 11:25:00,31.48
28,40,t4g6,temperature is 28.74,2024-07-09 11:25:00,28.74
29,41,t4g6,temperature is 30.46,2024-07-09 11:25:00,30.46
30,42,t4g6,temperature is 31.14,2024-07-09 11:26:00,31.14
31,43,t4g6,temperature is 29.77,2024-07-09 11:26:00,29.77
32,44,t4g6,temperature is 30.80,2024-07-09 11:26:00,30.8
33,45,t4g6,temperature is 28.74,2024-07-09 11:26:00,28.74
34,46,t4g6,temperature is 32.51,2024-07-09 11:27:00,32.51
35,47,t4g6,temperature is 27.38,2024-07-09 11:27:00,27.38
36,48,t4g6,temperature is 28.74,2024-07-09 11:27:00,28.74
37,49,t4g6,temperature is 30.80,2024-07-09 11:27:00,30.8
38,50,t4g6,temperature is 28.06,2024-07-09 11:28:00,28.06
39,51,t4g6,temperature is 28.74,2024-07-09 11:28:00,28.74
40,52,t4g6,temperature is 28.40,2024-07-09 11:28:00,28.4
41,53,t4g6,temperature is 27.72,2024-07-09 11:28:00,27.72
42,54,t4g6,temperature is 30.80,2024-07-09 11:29:00,30.8
43,55,t4g6,temperature is 32.85,2024-07-09 11:29:00,32.85
44,56,t4g6,temperature is 32.85,2024-07-09 11:29:00,32.85
45,57,t4g6,temperature is 31.14,2024-07-09 11:29:00,31.14
46,58,t4g6,temperature is 30.46,2024-07-09 11:30:00,30.46
47,59,t4g6,temperature is 33.19,2024-07-09 11:30:00,33.19
48,60,t4g6,temperature is 32.51,2024-07-09 11:30:00,32.51
49,61,t4g6,temperature is 31.14,2024-07-09 11:30:00,31.14
50,62,t4g6,temperature is 30.80,2024-07-09 11:31:00,30.8
51,63,t4g6,temperature is 28.74,2024-07-09 11:31:00,28.74
52,64,t4g6,temperature is 32.17,2024-07-09 11:31:00,32.17
53,65,t4g6,0.00;0.00;26,2024-07-09 11:50:00,0.0
54,66,t4g6,0.00;0.00;26,2024-07-09 11:50:00,0.0
55,67,t4g6,0.00;0.00;27,2024-07-09 11:50:00,0.0
56,68,t4g6,0.00;0.00;26,2024-07-09 11:51:00,0.0
57,69,t4g6,0.00;0.00;26,2024-07-09 11:51:00,0.0
58,70,t4g6,0.00;0.00;26,2024-07-09 11:51:00,0.0
59,71,t4g6,0.00;0.00;26,2024-07-09 11:51:00,0.0
60,72,t4g6,0.00;0.00;27,2024-07-09 11:52:00,0.0
61,73,t4g6,0.00;0.00;26,2024-07-09 11:52:00,0.0
62,74,t4g6,0.00;0.00;25,2024-07-09 11:52:00,0.0
63,75,t4g6,0.00;0.00;26,2024-07-09 11:53:00,0.0
64,76,t4g6,0.00;0.00;26,2024-07-09 11:53:00,0.0
65,77,t4g6,0.00;0.00;26,2024-07-09 11:53:00,0.0
66,78,t4g6,0.00;0.00;26,2024-07-09 11:53:00,0.0
67,79,t4g6,0.00;0.00;26,2024-07-09 11:54:00,0.0
68,80,t4g6,0.00;0.00;26,2024-07-09 11:54:00,0.0
69,81,t4g6,0.00;0.00;26,2024-07-09 11:54:00,0.0
70,82,t4g6,0.00;0.00;25,2024-07-09 11:54:00,0.0
71,83,t4g6,0.00;0.00;26,2024-07-09 11:55:00,0.0
72,84,t4g6,0.00;0.00;26,2024-07-09 11:55:00,0.0
73,85,t4g6,0.00;0.00;26,2024-07-09 11:55:00,0.0
74,86,t4g6,0.00;0.00;27,2024-07-09 11:55:00,0.0
75,87,t4g6,0.00;0.00;26,2024-07-09 11:56:00,0.0
76,88,t4g6,0.00;0.00;26,2024-07-09 11:56:00,0.0
