id,temperature,air_quality,humidity
1254,33.2,55.8,40.0
860,26.2,65.7,46.0
388,27.4,74.8,31.0
1392,34.0,54.2,43.0
450,25.8,61.8,37.0
1123,31.5,58.9,37.0
983,27.2,72.7,41.0
1226,33.9,52.4,23.0
375,27.3,73.3,31.0
453,26.0,61.3,38.0
1382,34.2,53.3,44.0
1317,33.8,54.3,39.0
676,27.7,72.9,38.0
451,25.8,61.4,39.0
747,25.9,59.7,45.0
1147,31.6,60.3,37.0
539,27.7,72.7,39.0
623,27.7,59.4,45.0
580,25.3,58.8,47.0
762,26.3,58.8,43.0
1236,33.5,54.2,41.0
1399,33.9,54.7,42.0
1165,32.2,58.8,36.0
928,26.1,59.9,43.0
985,27.3,72.8,42.0
1058,30.7,48.5,42.0
782,26.3,59.1,43.0
1111,31.6,57.8,38.0
604,26.0,58.2,46.0
1463,30.4,51.4,46.0
1478,30.5,51.2,46.0
1047,30.3,49.8,43.0
944,27.0,65.5,39.0
1144,31.6,60.4,37.0
792,27.0,64.9,40.0
351,27.2,71.2,44.0
342,27.1,69.8,29.0
557,27.8,74.2,39.0
1368,34.7,51.3,42.0
448,25.6,61.7,38.0
1278,32.9,57.2,41.0
713,27.2,68.1,45.0
315,26.7,59.8,28.0
965,27.2,69.9,42.0
913,26.2,61.1,43.0
1400,33.9,54.8,42.0
696,27.8,73.9,38.0
1124,31.5,58.9,38.0
844,27.4,72.1,42.0
754,26.0,58.6,43.0
678,27.7,72.7,39.0
659,27.6,69.8,37.0
821,27.3,68.7,43.0
412,24.7,57.9,38.0
1411,33.7,56.2,41.0
936,26.9,62.6,41.0
829,27.4,70.6,41.0
1113,31.6,58.5,38.0
1076,31.2,48.9,37.0
793,27.1,65.2,39.0
1128,31.5,58.8,36.0
542,27.7,72.9,43.0
643,27.1,61.0,43.0
1045,29.9,49.6,46.0
1497,30.5,50.4,43.0
1026,27.7,52.5,63.0
378,27.3,73.5,31.0
379,27.3,73.7,31.0
646,27.3,63.5,41.0
526,27.6,70.2,40.0
324,26.0,60.7,28.0
805,27.3,67.8,38.0
1357,35.5,46.9,42.0
614,27.0,58.4,45.0
888,25.6,60.5,39.0
1258,33.2,56.7,40.0
1384,34.2,53.6,43.0
730,25.2,58.0,46.0
1262,33.1,56.7,42.0
808,27.3,68.0,39.0
750,26.0,59.5,44.0
981,27.3,72.2,43.0
1404,33.8,55.6,38.0
1429,33.5,58.1,40.0
1223,34.0,51.3,36.0
753,26.0,58.9,44.0
588,25.1,58.4,46.0
673,27.7,72.2,38.0
552,27.7,73.3,40.0
1279,32.9,57.3,41.0
314,26.9,59.5,27.0
318,26.5,60.4,28.0
626,27.9,59.7,45.0
1454,29.6,51.8,45.0
1215,34.6,49.1,39.0
786,26.4,60.1,43.0
530,27.6,70.7,40.0
682,27.8,73.3,37.0
339,27.0,68.5,44.0
1467,30.4,51.1,46.0
709,27.8,75.0,38.0
1479,30.6,51.0,45.0
1355,35.6,46.7,39.0
1389,34.1,54.1,42.0
903,25.9,61.7,42.0
1043,29.3,50.9,47.0
847,27.4,72.9,41.0
1505,31.3,48.5,42.0
1442,29.2,48.9,48.0
571,26.6,66.6,46.0
606,26.2,58.2,46.0
337,27.0,67.9,28.0
651,27.5,67.6,39.0
1145,31.6,60.1,37.0
359,27.3,72.1,31.0
633,27.8,59.8,45.0
418,24.8,59.9,36.0
1105,31.6,56.6,38.0
367,27.3,73.1,30.0
834,27.4,70.8,41.0
528,27.6,70.6,39.0
432,25.0,59.3,38.0
873,24.7,57.7,45.0
1376,34.4,53.0,42.0
1295,32.9,59.0,40.0
384,27.3,74.4,31.0
1077,31.3,48.9,39.0
1465,30.3,51.5,46.0
1318,33.9,53.6,38.0
997,27.3,74.1,40.0
1232,33.7,53.6,41.0
1092,31.5,54.0,36.0
863,25.6,62.5,46.0
872,24.7,57.6,44.0
737,25.4,59.0,45.0
800,27.2,67.0,39.0
1387,34.1,54.1,42.0
1229,33.8,53.2,40.0
631,27.8,59.6,46.0
930,26.4,60.1,42.0
1319,34.0,53.4,38.0
1122,31.6,58.6,39.0
994,27.3,74.1,40.0
739,25.2,59.9,45.0
857,26.7,67.8,45.0
372,27.3,73.0,33.0
1032,28.4,51.3,55.0
404,25.6,61.8,38.0
1164,32.2,59.3,37.0
705,27.8,74.5,38.0
666,27.7,71.5,37.0
1238,33.5,54.5,40.0
595,25.5,59.1,45.0
1422,33.6,57.5,40.0
1425,33.6,57.7,42.0
674,27.7,72.5,38.0
735,25.3,59.0,45.0
858,26.5,67.3,45.0
838,27.4,71.2,40.0
1031,29.1,50.6,49.0
1035,28.7,50.9,46.0
497,26.5,61.0,44.0
1080,31.4,50.4,37.0
745,25.7,59.1,45.0
422,24.9,60.7,38.0
685,27.8,73.1,38.0
554,27.7,73.4,40.0
1072,29.5,50.0,40.0
1170,32.5,56.6,36.0
904,26.0,61.5,42.0
797,27.2,66.1,38.0
1460,30.2,51.8,45.0
576,25.7,62.1,47.0
1154,31.7,61.3,36.0
959,27.2,68.9,42.0
654,27.6,69.1,38.0
986,27.3,73.0,42.0
988,27.4,73.1,41.0
898,25.6,61.6,41.0
498,26.7,62.5,42.0
449,25.8,61.6,39.0
1470,30.6,50.6,45.0
1016,24.6,58.9,46.0
851,27.5,73.6,40.0
392,27.3,75.3,30.0
1033,28.7,51.5,47.0
1161,32.0,60.4,36.0
1069,30.0,49.3,40.0
341,27.1,69.6,28.0
748,25.9,59.7,45.0
480,27.0,63.2,43.0
563,27.8,74.9,39.0
622,27.5,59.6,45.0
661,27.6,70.9,37.0
649,27.5,66.3,39.0
600,25.8,58.5,45.0
1255,33.1,56.3,41.0
409,25.1,58.3,38.0
1430,33.3,57.1,41.0
1346,35.6,47.6,40.0
1218,34.3,50.2,39.0
912,26.2,61.1,42.0
993,27.3,74.0,40.0
924,26.4,59.4,42.0
1108,31.6,57.3,37.0
1082,31.4,51.0,38.0
1365,34.9,50.2,42.0
377,27.3,73.5,31.0
945,27.0,65.7,40.0
1052,30.7,48.6,42.0
1367,34.8,51.0,38.0
1393,33.9,54.2,42.0
1408,33.8,55.9,42.0
617,27.2,59.0,45.0
569,26.9,68.3,45.0
1264,33.0,56.9,41.0
1237,33.5,54.3,41.0
627,28.0,59.6,48.0
841,27.4,71.6,41.0
536,27.7,72.1,39.0
703,27.8,74.3,37.0
550,27.7,73.6,40.0
1116,31.5,59.0,37.0
794,27.1,65.3,39.0
1022,25.0,59.2,58.0
620,27.4,60.0,45.0
1420,33.6,57.0,38.0
1007,25.6,62.7,47.0
1079,31.4,49.7,37.0
1222,34.0,51.2,40.0
1448,29.2,51.7,48.0
564,27.8,75.3,38.0
1067,30.5,49.4,41.0
905,26.2,61.0,42.0
383,27.3,73.9,31.0
406,25.3,59.5,38.0
856,27.1,68.3,43.0
345,27.1,70.4,28.0
1167,32.4,57.8,36.0
1127,31.6,58.6,38.0
763,26.2,59.7,44.0
760,26.3,58.9,44.0
574,26.0,64.1,47.0
519,27.6,69.2,39.0
1100,31.6,55.7,38.0
1209,34.9,47.3,39.0
896,25.6,61.2,42.0
680,27.8,73.1,37.0
991,27.3,73.7,41.0
